time	WindVelX
1010.0	10.602
1011.0	10.249
1012.0	11.031
1013.0	10.311
1014.0	8.517
1015.0	9.114
1016.0	10.466
1017.0	11.019
1018.0	12.871
1019.0	11.683
1020.0	12.936
1021.0	15.421
1022.0	15.169
1023.0	13.647
1024.0	13.014
1025.0	12.413
1026.0	11.009
1027.0	11.834
1028.0	12.687
1029.0	11.365
1030.0	10.314
1031.0	10.212
1032.0	9.883
1033.0	10.218
1034.0	11.026
1035.0	10.881
1036.0	12.426
1037.0	13.457
1038.0	15.114
1039.0	16.159
1040.0	16.105
1041.0	15.942
1042.0	16.822
1043.0	17.573
1044.0	16.679
1045.0	16.966
1046.0	16.324
1047.0	15.654
1048.0	16.41
1049.0	14.058
1050.0	14.07
1051.0	13.656
1052.0	13.197
1053.0	14.333
1054.0	13.795
1055.0	13.575
1056.0	12.807
1057.0	13.878
1058.0	14.034
1059.0	14.468
1060.0	14.655
1061.0	14.56
1062.0	13.056
1063.0	12.462
1064.0	12.371
1065.0	10.444
1066.0	11.517
1067.0	11.668
1068.0	10.384
1069.0	10.82
1070.0	9.838
1071.0	10.836
1072.0	9.186
1073.0	9.789
1074.0	8.781
1075.0	9.717
1076.0	8.527
1077.0	9.727
1078.0	9.851
1079.0	9.29
1080.0	10.654
1081.0	10.762
1082.0	12.062
1083.0	10.861
1084.0	8.731
1085.0	10.245
1086.0	11.33
1087.0	11.341
1088.0	12.28
1089.0	11.459
1090.0	11.356
1091.0	11.408
1092.0	11.213
1093.0	11.54
1094.0	12.877
1095.0	13.72
1096.0	12.676
1097.0	11.796
1098.0	12.064
1099.0	10.74
1100.0	10.064
1101.0	10.784
1102.0	12.053
1103.0	12.006
1104.0	11.748
1105.0	12.023
1106.0	13.328
1107.0	11.359
1108.0	10.375
1109.0	11.001
1110.0	9.49
1111.0	8.603
1112.0	8.739
1113.0	8.069
1114.0	9.56
1115.0	8.216
1116.0	7.188
1117.0	9.323
1118.0	10.424
1119.0	9.676
1120.0	8.159
1121.0	9.738
1122.0	10.758
1123.0	11.869
1124.0	12.088
1125.0	12.575
1126.0	13.476
1127.0	11.86
1128.0	10.19
1129.0	10.944
1130.0	11.03
1131.0	10.204
1132.0	8.428
1133.0	7.68
1134.0	10.326
1135.0	12.307
1136.0	13.532
1137.0	13.824
1138.0	11.466
1139.0	12.045
1140.0	13.187
1141.0	10.224
1142.0	9.96
1143.0	10.041
1144.0	9.951
1145.0	10.257
1146.0	10.421
1147.0	10.245
1148.0	13.39
1149.0	12.48
1150.0	11.678
1151.0	12.692
1152.0	11.792
1153.0	11.112
1154.0	10.458
1155.0	10.268
1156.0	9.687
1157.0	9.495
1158.0	9.008
1159.0	8.683
1160.0	7.542
1161.0	8.748
1162.0	9.415
1163.0	10.128
1164.0	9.563
1165.0	9.486
1166.0	9.146
1167.0	9.736
1168.0	11.108
1169.0	10.466
1170.0	10.121
1171.0	10.877
1172.0	11.233
1173.0	11.843
1174.0	11.613
1175.0	10.865
1176.0	10.368
1177.0	11.359
1178.0	10.811
1179.0	10.106
1180.0	9.352
1181.0	9.771
1182.0	8.017
1183.0	9.662
1184.0	10.494
1185.0	10.478
1186.0	10.95
1187.0	10.981
1188.0	9.32
1189.0	8.469
1190.0	9.479
1191.0	9.312
1192.0	10.334
1193.0	10.757
1194.0	9.597
1195.0	10.655
1196.0	10.435
1197.0	11.304
1198.0	11.48
1199.0	11.381
1200.0	9.362
1201.0	10.006
1202.0	8.408
1203.0	8.46
1204.0	8.506
1205.0	8.222
1206.0	6.755
1207.0	7.432
1208.0	7.453
1209.0	5.972
1210.0	7.558
1211.0	8.563
1212.0	8.807
1213.0	10.001
1214.0	10.027
1215.0	10.873
1216.0	9.776
1217.0	8.882
1218.0	9.822
1219.0	10.094
1220.0	9.671
1221.0	8.606
1222.0	10.0
1223.0	8.753
1224.0	7.851
1225.0	7.446
1226.0	7.225
1227.0	6.061
1228.0	5.862
1229.0	7.23
1230.0	8.173
1231.0	8.959
1232.0	8.245
1233.0	7.039
1234.0	7.46
1235.0	9.189
1236.0	8.049
1237.0	7.234
1238.0	6.152
1239.0	6.249
1240.0	7.625
1241.0	6.601
1242.0	7.719
1243.0	6.663
1244.0	5.761
1245.0	5.943
1246.0	6.478
1247.0	8.043
1248.0	8.425
1249.0	6.962
1250.0	7.761
1251.0	8.884
1252.0	9.145
1253.0	9.442
1254.0	8.015
1255.0	8.436
1256.0	10.165
1257.0	11.114
1258.0	10.931
1259.0	12.399
1260.0	12.249
1261.0	11.893
1262.0	11.952
1263.0	11.517
1264.0	10.168
1265.0	9.404
1266.0	8.947
1267.0	8.406
1268.0	6.525
1269.0	6.473
1270.0	6.966
1271.0	7.444
1272.0	8.995
1273.0	8.686
1274.0	9.389
1275.0	9.478
1276.0	8.918
1277.0	8.203
1278.0	7.341
1279.0	6.044
1280.0	6.993
1281.0	8.328
1282.0	7.89
1283.0	9.555
1284.0	8.85
1285.0	9.786
1286.0	8.961
1287.0	7.848
1288.0	8.884
1289.0	10.152
1290.0	10.243
1291.0	10.592
1292.0	9.75
1293.0	11.044
1294.0	11.012
1295.0	10.755
1296.0	10.927
1297.0	10.845
1298.0	11.936
1299.0	11.703
1300.0	12.178
1301.0	12.32
1302.0	13.131
1303.0	13.07
1304.0	12.771
1305.0	12.997
1306.0	13.508
1307.0	12.642
1308.0	11.551
1309.0	11.677
1310.0	11.11
1311.0	10.921
1312.0	12.025
1313.0	10.958
1314.0	11.359
1315.0	11.082
1316.0	10.813
1317.0	11.788
1318.0	12.384
1319.0	11.767
1320.0	10.616
1321.0	10.842
1322.0	10.173
1323.0	11.967
1324.0	11.974
1325.0	12.748
1326.0	13.971
1327.0	12.642
1328.0	11.556
1329.0	11.382
1330.0	9.652
1331.0	10.441
1332.0	11.268
1333.0	11.126
1334.0	10.033
1335.0	11.141
1336.0	10.595
1337.0	9.482
1338.0	9.601
1339.0	9.787
1340.0	9.828
1341.0	9.706
1342.0	10.927
1343.0	11.352
1344.0	10.505
1345.0	9.609
1346.0	9.276
1347.0	8.596
1348.0	9.688
1349.0	10.931
1350.0	11.754
1351.0	13.261
1352.0	12.605
1353.0	11.248
1354.0	11.072
1355.0	12.181
1356.0	12.515
1357.0	13.663
1358.0	11.632
1359.0	11.162
1360.0	12.394
1361.0	11.365
1362.0	11.907
1363.0	11.786
1364.0	12.426
1365.0	12.707
1366.0	11.286
1367.0	11.198
1368.0	10.941
1369.0	9.362
1370.0	9.232
1371.0	10.042
1372.0	12.448
1373.0	11.857
1374.0	10.774
1375.0	9.859
1376.0	8.867
1377.0	8.757
1378.0	9.676
1379.0	8.913
1380.0	8.174
1381.0	6.572
1382.0	9.409
1383.0	9.445
1384.0	9.367
1385.0	9.343
1386.0	9.985
1387.0	12.591
1388.0	13.351
1389.0	11.688
1390.0	11.615
1391.0	11.308
1392.0	11.529
1393.0	11.15
1394.0	11.056
1395.0	12.091
1396.0	11.229
1397.0	12.251
1398.0	12.887
1399.0	12.083
1400.0	12.125
1401.0	12.083
1402.0	10.947
1403.0	10.545
1404.0	10.682
1405.0	9.451
1406.0	10.113
1407.0	10.062
