Time	RotTorq	YawBrFxp	YawBrFyp
29.25	581100.0	181300.0	-51160.0
29.3	593900.0	179600.0	-53930.0
29.35	607900.0	178600.0	-55850.0
29.4	617200.0	178100.0	-56240.0
29.45	618200.0	177600.0	-55130.0
29.5	610500.0	176400.0	-53250.0
29.55	598300.0	174800.0	-51360.0
29.6	587600.0	173700.0	-49790.0
29.65	583100.0	173600.0	-48240.0
29.7	587200.0	174500.0	-46080.0
29.75	597600.0	175200.0	-42880.0
29.8	609600.0	175100.0	-38800.0
29.85	617300.0	173900.0	-34430.0
29.9	616900.0	171900.0	-30280.0
29.95	608200.0	169900.0	-26390.0
30.0	594600.0	168500.0	-22310.0
30.05	581900.0	168100.0	-17510.0
30.1	575500.0	168600.0	-11820.0
30.15	577500.0	169500.0	-5692.0
30.2	586200.0	170000.0	151.7
30.25	597400.0	170000.0	5330.0
30.3	606200.0	169600.0	10030.0
30.35	608500.0	169700.0	14830.0
30.4	603400.0	170500.0	20120.0
30.45	592900.0	171800.0	25810.0
30.5	581100.0	173400.0	31230.0
30.55	572800.0	175200.0	35660.0
30.6	571700.0	177000.0	38870.0
30.65	577700.0	178700.0	41170.0
30.7	586900.0	180300.0	43170.0
30.75	594800.0	181900.0	45370.0
30.8	597100.0	183600.0	47710.0
30.85	592600.0	185300.0	49750.0
30.9	583100.0	187000.0	50970.0
30.95	572500.0	188900.0	51160.0
31.0	565100.0	190900.0	50540.0
31.05	564400.0	192600.0	49610.0
31.1	570500.0	193900.0	48690.0
31.15	580200.0	194600.0	47620.0
31.2	589000.0	195000.0	45910.0
31.25	593800.0	195400.0	43230.0
31.3	592700.0	196300.0	39570.0
31.35	586800.0	197500.0	35350.0
31.4	578500.0	198700.0	31060.0
31.45	571500.0	199500.0	26880.0
31.5	569500.0	199800.0	22640.0
31.55	573600.0	199800.0	17860.0
31.6	581800.0	200000.0	12260.0
31.65	590800.0	200200.0	6090.0
31.7	597300.0	200200.0	3.215
31.75	598600.0	199800.0	-5411.0
31.8	594600.0	198700.0	-10030.0
31.85	587500.0	197100.0	-14250.0
31.9	581100.0	194900.0	-18650.0
31.95	578600.0	192500.0	-23510.0
32.0	581900.0	190100.0	-28550.0
32.05	589800.0	187800.0	-33180.0
32.1	599400.0	185400.0	-36930.0
32.15	607200.0	182300.0	-39800.0
32.2	610200.0	178600.0	-42230.0
32.25	607700.0	175400.0	-44720.0
32.3	601100.0	173400.0	-47400.0
32.35	593600.0	172700.0	-49920.0
32.4	589200.0	172600.0	-51660.0
32.45	590600.0	172000.0	-52250.0
32.5	597200.0	170300.0	-51830.0
32.55	606600.0	167800.0	-50900.0
32.6	614500.0	165900.0	-49930.0
32.65	617600.0	165500.0	-48960.0
32.7	614700.0	166800.0	-47590.0
32.75	607300.0	169000.0	-45340.0
32.8	598700.0	170300.0	-42070.0
32.85	592800.0	170100.0	-38080.0
32.9	592500.0	168400.0	-33950.0
32.95	597800.0	166600.0	-30110.0
33.0	606000.0	165900.0	-26560.0
33.05	613200.0	166900.0	-22930.0
33.1	615500.0	168900.0	-18780.0
33.15	611500.0	170800.0	-13890.0
33.2	602500.0	171700.0	-8528.0
33.25	592600.0	171900.0	-3184.0
33.3	586100.0	172300.0	1754.0
33.35	585900.0	173700.0	6261.0
33.4	591300.0	176200.0	10580.0
33.45	599800.0	179300.0	15080.0
33.5	607700.0	182300.0	19930.0
33.55	611800.0	184800.0	24980.0
33.6	609600.0	187000.0	29760.0
33.65	601400.0	189600.0	33780.0
33.7	590500.0	193200.0	36910.0
33.75	581200.0	197500.0	39380.0
33.8	577300.0	201600.0	41540.0
33.85	581100.0	204700.0	43600.0
33.9	590800.0	206300.0	45390.0
33.95	601100.0	206600.0	46480.0
34.0	607200.0	206600.0	46660.0
34.05	605900.0	206900.0	46060.0
34.1	597300.0	208300.0	45090.0
34.15	585600.0	210500.0	44170.0
34.2	576400.0	212900.0	43260.0
34.25	574100.0	214100.0	41970.0
34.3	579500.0	213400.0	39900.0
34.35	590000.0	211100.0	36950.0
34.4	600900.0	208300.0	33440.0
34.45	607900.0	206100.0	29870.0
34.5	608200.0	205100.0	26530.0
34.55	602200.0	204700.0	23280.0
34.6	593000.0	203700.0	19630.0
34.65	585500.0	201800.0	15230.0
